<b>Document property / method</b>: document.activeElement | <b>Document property / method</b> that returns the currently focused element in the document. |  | document.activeElement | const element = document.activeElement.tagName; |  
<b>Document property / method</b>: document.addEventListener(<em>event</em>, <em>function</em>, <em>Capture</em>) | <b>Document property / method</b> that attaches an event handler to the document. |  | document.addEventListener(<em>event</em>, <em>function</em>, <em>Capture</em>) | document.addEventListener("click", myFunction);<br/><br/> function myFunction() {<br/>   document.getElementById("demo").innerHTML = "Hello World";<br/>  }<br/> |  
<b>Document property / method</b>: document.adoptNode(<em>node</em>) | <b>Document property / method</b> that adopts a node from another document. |  | document.adoptNode(<em>node</em>) | const frame = document.getElementById("myFrame");<br/> const h1 = frame.contentWindow.document.getElementsByTagName("H1")[0];<br/> const node = document.adoptNode(h1); |  
<b>Document property / method</b>: document.anchors | <b>Document property / method</b> that deprecated. |  | document.anchors | let num = document.anchors.length; |  
<b>Document property / method</b>: document.applets | <b>Document property / method</b> that deprecated. |  | document.applets | let num = document.applets.length; |  
<b>Document property / method</b>: <em>document</em>.baseURI | <b>Document property / method</b> that returns the absolute base uri of a document. |  | <em>document</em>.baseURI | let base = document.baseURI; |  
<b>Document property / method</b>: body | <b>Document property / method</b> that sets or returns the document's body (the <body> element). |  |  | const myBody = document.body.innerHTML; |  
<b>Document property / method</b>: document.charset | <b>Document property / method</b> that deprecated. |  | document.charset | encoding = document.charset; |  
<b>Document property / method</b>: document.characterSet | <b>Document property / method</b> that returns the character encoding for the document. |  | document.characterSet | encoding = document.characterSet; |  
<b>Document property / method</b>: document.close() | <b>Document property / method</b> that closes the output stream previously opened with document.open(). |  | document.close() | document.open();<br/> document.write("&lt;h1&gt;Hello World&lt;/h1&gt;");<br/> document.write("&lt;p&gt;Open owerwrites original content.&lt;/p&gt;");<br/> document.close(); |  
<b>Document property / method</b>: cookie | <b>Document property / method</b> that returns all name/value pairs of cookies in the document. |  |  | let allCookies = document.cookie; |  
<b>Document property / method</b>: document.createAttribute(<i>name</i>) | <b>Document property / method</b> that creates an attribute node. |  | document.createAttribute(<i>name</i>) | // Create a class attribute:<br/> const att = document.createAttribute("class");<br/> <br/> // Set the value of the class attribute:<br/> att.value = "democlass";<br/> <br/> // Add the class attribute to the first h1:<br/> const h1 = document.getElementsByTagName("H1")[0];<br/> h1.setAttributeNode(att); |  
<b>Document property / method</b>: document.createComment(<i>text</i>) | <b>Document property / method</b> that creates a comment node with the specified text. |  | document.createComment(<i>text</i>) | const comment = document.createComment("My comments");<br/> document.body.appendChild(comment); |  
<b>Document property / method</b>: document.createDocumentFragment() | <b>Document property / method</b> that creates an empty documentfragment node. |  | document.createDocumentFragment() | const fruits = ["Banana", "Orange", "Mango"];<br/> <br/> // Create a document fragment:<br/> const dFrag = document.createDocumentFragment();<br/> <br/> // Add li elements to the fragment:<br/> for (let x in fruits) {<br/>   const li = document.createElement('li');<br/>   li.textContent = fruits[x];<br/>   dFrag.appendChild(li);<br/> }<br/> <br/> // Add fragment to a list:<br/>  document.getElementById('myList').appendChild(dFrag); |  
<b>Document property / method</b>: document.createElement(<em>type</em>) | <b>Document property / method</b> that creates an element node. |  | document.createElement(<em>type</em>) | const para = document.createElement("p");<br/> para.innerText = "This is a paragraph";<br/> document.body.appendChild(para); |  
