<i>element</i>.onabort | <b>DOM event</b> that occurs when the loading of a media is aborted. |  | &lt;<i>element</i> onabort | &lt;video onabort="myFunction()"&gt; |  
<i>element</i>.onafterprint | <b>DOM event</b> that occurs when a page has started printing, or if the print dialogue box has been closed. |  | &lt;<i>element</i> onafterprint | &lt;body onafterprint="myFunction()"&gt; |  
<b>DOM event</b>: element.addEventListener("webkitAnimationEnd", <em>myScript</em>);  // Code for Chrome, Safari and Opera<em><br/>object</em>.addEventListener("animationend", <em>myScript</em>);        // Standard syntax<br/> | <b>DOM event</b> that occurs when a css animation has completed. |  | object.addEventListener("webkitAnimationEnd", <em>myScript</em>);  // Code for Chrome, Safari and Opera<em><br/>object</em>.addEventListener("animationend", <em>myScript</em>);        // Standard syntax<br/> | var x = document.getElementById("myDIV");<br/><br/>// Code for Chrome, Safari and Opera<br/>  x.addEventListener("webkitAnimationEnd", myEndFunction);<br/><br/>// Standard syntax<br/>x.addEventListener("animationend", myEndFunction); |  
<b>DOM event</b>: element.addEventListener("webkitAnimationIteration", <em>myScript</em>);  // Code for Chrome, Safari and Opera<em><br/>object</em>.addEventListener("animationiteration", <em>myScript</em>);        // Standard syntax<br/> | <b>DOM event</b> that occurs when a css animation is repeated. |  | object.addEventListener("webkitAnimationIteration", <em>myScript</em>);  // Code for Chrome, Safari and Opera<em><br/>object</em>.addEventListener("animationiteration", <em>myScript</em>);        // Standard syntax<br/> | var x = document.getElementById("myDIV");<br/><br/>// Code for Chrome, Safari and Opera<br/>  x.addEventListener("webkitAnimationIteration", myRepeatFunction);<br/><br/>// Standard syntax<br/>x.addEventListener("animationiteration", myRepeatFunction); |  
<b>DOM event</b>: element.addEventListener("webkitAnimationStart", <em>myScript</em>);  // Code for Chrome, Safari and Opera<em><br/>object</em>.addEventListener("animationstart", <em>myScript</em>);        // Standard syntax<br/> | <b>DOM event</b> that occurs when a css animation has started. |  | object.addEventListener("webkitAnimationStart", <em>myScript</em>);  // Code for Chrome, Safari and Opera<em><br/>object</em>.addEventListener("animationstart", <em>myScript</em>);        // Standard syntax<br/> | var x = document.getElementById("myDIV");<br/><br/>// Code for Chrome, Safari and Opera<br/>  x.addEventListener("webkitAnimationStart", myStartFunction);<br/><br/>// Standard syntax<br/>x.addEventListener("animationstart", myStartFunction); |  
<i>element</i>.onbeforeprint | <b>DOM event</b> that occurs when a page is about to be printed. |  | &lt;<i>element</i> onbeforeprint | &lt;body onbeforeprint="myFunction()"&gt; |  
<i>element</i>.onbeforeunload | <b>DOM event</b> that occurs before the document is about to be unloaded. |  | &lt;<i>element</i> onbeforeunload | &lt;body onbeforeunload="return myFunction()"&gt; |  
<i>element</i>.onblur | <b>DOM event</b> that occurs when an element loses focus. |  | &lt;<i>element</i> onblur | &lt;input type="text" onblur="myFunction()"&gt; |  
<i>element</i>.oncanplay | <b>DOM event</b> that occurs when the browser can start playing the media (when it has buffered  enough to begin). |  | &lt;<i>element</i> oncanplay | &lt;video oncanplay="myFunction()"&gt; |  
<i>element</i>.oncanplaythrough | <b>DOM event</b> that occurs when the browser can play through the media without  stopping for buffering. |  | &lt;<i>element</i> oncanplaythrough | &lt;video oncanplaythrough="myFunction()"&gt; |  
<i>element</i>.onchange | <b>DOM event</b> that occurs when the content of a form element, the selection, or the checked state have changed (for <input>, <select>, and <textarea>). |  | &lt;<i>element</i> onchange | &lt;select onchange="myFunction()"&gt; |  
<b>DOM event</b>: click | <b>DOM event</b> that occurs when the user clicks on an element. |  |  | &lt;button onclick="myFunction()"&gt;Click me&lt;/button&gt; |  
<i>element</i>.oncontextmenu | <b>DOM event</b> that occurs when the user right-clicks on an element to open a context menu. |  | &lt;<i>element</i> oncontextmenu | &lt;div oncontextmenu="myFunction()" contextmenu="mymenu"&gt; |  
<i>element</i>.oncopy | <b>DOM event</b> that occurs when the user copies the content of an element. |  | &lt;<i>element</i> oncopy | &lt;input type="text" oncopy="myFunction()" value="Try to copy this text"&gt; |  
<i>element</i>.oncut | <b>DOM event</b> that occurs when the user cuts the content of an element. |  | &lt;<i>element</i> oncut | &lt;input type="text" oncut="myFunction()" value="Try to cut this text"&gt; |  
<i>element</i>.ondblclick | <b>DOM event</b> that occurs when the user double-clicks on an element. |  | &lt;<i>element</i> ondblclick | &lt;p ondblclick="myFunction()"&gt;Double-click me&lt;/p&gt; |  
<i>element</i>.ondrag | <b>DOM event</b> that occurs when an element is being dragged. |  | &lt;<i>element</i> ondrag | &lt;p draggable="true" ondrag="myFunction(event)"&gt;Drag me!&lt;/p&gt; |  
<i>element</i>.ondragend | <b>DOM event</b> that occurs when the user has finished dragging an element. |  | &lt;<i>element</i> ondragend | &lt;p draggable="true" ondragend="myFunction(event)"&gt;Drag me!&lt;/p&gt; |  
<i>element</i>.ondragenter | <b>DOM event</b> that occurs when the dragged element enters the drop target. |  | &lt;<i>element</i> ondragenter | &lt;div ondragenter="myFunction(event)"&gt;&lt;/div&gt; |  
<i>element</i>.ondragleave | <b>DOM event</b> that occurs when the dragged element leaves the drop target. |  | &lt;<i>element</i> ondragleave | &lt;div ondragleave="myFunction(event)"&gt;&lt;/div&gt; |  
<i>element</i>.ondragover | <b>DOM event</b> that occurs when the dragged element is over the drop target. |  | &lt;<i>element</i> ondragover | &lt;div ondragover="myFunction(event)"&gt;&lt;/div&gt; |  
<i>element</i>.ondragstart | <b>DOM event</b> that occurs when the user starts to drag an element. |  | &lt;<i>element</i> ondragstart | &lt;p draggable="true" ondragstart="myFunction(event)"&gt;Drag me!&lt;/p&gt; |  
<i>element</i>.ondrop | <b>DOM event</b> that occurs when the dragged element is dropped on the drop target. |  | &lt;<i>element</i> ondrop | &lt;div ondrop="myFunction(event)"&gt;&lt;/div&gt; |  
<i>element</i>.ondurationchange | <b>DOM event</b> that occurs when the duration of the media is changed. |  | &lt;<i>element</i> ondurationchange | &lt;video ondurationchange="myFunction()"&gt; |  
<i>element</i>.onended | <b>DOM event</b> that occurs when the media has reach the end (useful for messages like "thanks for listening"). |  | &lt;<i>element</i> onended | &lt;audio onended="myFunction()"&gt; |  
