<b>Jsref_obj_date.asp method</b>: <i>Date</i>.getDate() | <b>Jsref_obj_date.asp method</b> that returns the day of the month (from 1-31). | <i>Date</i>.getDate() |  | const d = new Date();<br/> let day = d.getDate(); |  
<b>Jsref_obj_date.asp method</b>: <i>Date</i>.getDay() | <b>Jsref_obj_date.asp method</b> that returns the day of the week (from 0-6). | <i>Date</i>.getDay() |  | const d = new Date();<br/> let day = d.getDay(); |  
<b>Jsref_obj_date.asp method</b>: <i>Date</i>.getFullYear() | <b>Jsref_obj_date.asp method</b> that returns the year. | <i>Date</i>.getFullYear() |  | const d = new Date();<br/> let year = d.getFullYear(); |  
<b>Jsref_obj_date.asp method</b>: <i>Date</i>.getHours() | <b>Jsref_obj_date.asp method</b> that returns the hour (from 0-23). | <i>Date</i>.getHours() |  | const d = new Date();<br/> let hour = d.getHours(); |  
<b>Jsref_obj_date.asp method</b>: <i>Date</i>.getMilliseconds() | <b>Jsref_obj_date.asp method</b> that returns the milliseconds (from 0-999). | <i>Date</i>.getMilliseconds() |  | const d = new Date();<br/> let ms = d.getMilliseconds(); |  
<b>Jsref_obj_date.asp method</b>: <i>Date</i>.getMinutes() | <b>Jsref_obj_date.asp method</b> that returns the minutes (from 0-59). | <i>Date</i>.getMinutes() |  | const d = new Date();<br/> let minutes = d.getMinutes(); |  
<b>Jsref_obj_date.asp method</b>: <i>Date</i>.getMonth() | <b>Jsref_obj_date.asp method</b> that returns the month (from 0-11). | <i>Date</i>.getMonth() |  | const d = new Date();<br/> let month = d.getMonth(); |  
<b>Jsref_obj_date.asp method</b>: <i>Date</i>.getSeconds() | <b>Jsref_obj_date.asp method</b> that returns the seconds (from 0-59). | <i>Date</i>.getSeconds() |  | const d = new Date();<br/> let seconds = d.getSeconds(); |  
<b>Jsref_obj_date.asp method</b>: <i>Date</i>.getTime() | <b>Jsref_obj_date.asp method</b> that returns the number of milliseconds since midnight jan 1 1970, and a specified date. | <i>Date</i>.getTime() |  | const d = new Date();<br/> let time = d.getTime(); |  
<b>Jsref_obj_date.asp method</b>: <i>Date</i>.getTimezoneOffset() | <b>Jsref_obj_date.asp method</b> that returns the time difference between utc time and local time, in minutes. | <i>Date</i>.getTimezoneOffset() |  | const d = new Date();<br/> let diff = d.getTimezoneOffset();<br/> |  
<b>Jsref_obj_date.asp method</b>: <i>Date</i>.getUTCDate() | <b>Jsref_obj_date.asp method</b> that returns the day of the month, according to universal time (from 1-31). | <i>Date</i>.getUTCDate() |  | const d = new Date();<br/> let day = d.getUTCDate(); |  
<b>Jsref_obj_date.asp method</b>: <i>Date</i>.getUTCDay() | <b>Jsref_obj_date.asp method</b> that returns the day of the week, according to universal time (from 0-6). | <i>Date</i>.getUTCDay() |  | const d = new Date();<br/> let day = d.getUTCDay(); |  
<b>Jsref_obj_date.asp method</b>: <i>Date</i>.getUTCFullYear() | <b>Jsref_obj_date.asp method</b> that returns the year, according to universal time. | <i>Date</i>.getUTCFullYear() |  | const d = new Date();<br/> let year = d.getUTCFullYear(); |  
<b>Jsref_obj_date.asp method</b>: <i>Date</i>.getUTCHours() | <b>Jsref_obj_date.asp method</b> that returns the hour, according to universal time (from 0-23). | <i>Date</i>.getUTCHours() |  | const d = new Date();<br/> let hour = d.getUTCHours(); |  
<b>Jsref_obj_date.asp method</b>: <i>Date</i>.getUTCMilliseconds() | <b>Jsref_obj_date.asp method</b> that returns the milliseconds, according to universal time (from 0-999). | <i>Date</i>.getUTCMilliseconds() |  | const d = new Date();<br/> let ms = d.getUTCMilliseconds(); |  
<b>Jsref_obj_date.asp method</b>: <i>Date</i>.getUTCMinutes() | <b>Jsref_obj_date.asp method</b> that returns the minutes, according to universal time (from 0-59). | <i>Date</i>.getUTCMinutes() |  | const d = new Date();<br/> let minutes = d.getUTCMinutes(); |  
<b>Jsref_obj_date.asp method</b>: <i>Date</i>.getUTCMonth() | <b>Jsref_obj_date.asp method</b> that returns the month, according to universal time (from 0-11). | <i>Date</i>.getUTCMonth() |  | const d = new Date();<br/> let month = d.getUTCMonth(); |  
