<b>Element property / method</b>: accesskey | <b>Element property / method</b> that sets or returns the accesskey attribute of an element. |  |  | document.getElementById("myAnchor").accessKey = "w"; |  
<b>Element property / method</b>: <em>element</em>.addEventListener(<em>event</em>, <em>function</em>, <em>useCapture</em>) | <b>Element property / method</b> that attaches an event handler to an element. | <em>element</em>.addEventListener(<em>event</em>, <em>function</em>, <em>useCapture</em>) |  | element.addEventListener("click", myFunction);<br/><br/>function myFunction() {<br/>  document.getElementById("demo").innerHTML = "Hello World";<br/>  }<br/> |  
<b>Element property / method</b>: appendchild() | <b>Element property / method</b> that adds (appends) a new child node to an element. |  |  | const node = document.createElement("li");<br/> const textnode = document.createTextNode("Water");<br/> node.appendChild(textnode);<br/> document.getElementById("myList").appendChild(node); |  
<b>Element property / method</b>: <em>node</em>.attributes | <b>Element property / method</b> that returns a namednodemap of an element's attributes. | <em>node</em>.attributes |  | let numb = document.getElementById("myImg").attributes.length; |  
<b>Element property / method</b>: <em>HTMLElementObject</em>.blur() | <b>Element property / method</b> that removes focus from an element. | <em>HTMLElementObject</em>.blur() |  | document.getElementById("myText").blur(); |  
<b>Element property / method</b>: <em>element</em>.childElementCount | <b>Element property / method</b> that returns an elements's number of child elements. | <em>element</em>.childElementCount |  | let numb = document.getElementById("myDIV").childElementCount; |  
<b>Element property / method</b>: <em>element</em>.childNodes | <b>Element property / method</b> that returns a nodelist of an element's child nodes. | <em>element</em>.childNodes |  | const nodeList = document.body.childNodes; |  
<b>Element property / method</b>: <em>element</em>.children | <b>Element property / method</b> that returns an htmlcollection of an element's child elements. | <em>element</em>.children |  | const collection = document.body.children; |  
<b>Element property / method</b>: <em>element</em>.classList | <b>Element property / method</b> that returns the class name(s) of an element. | <em>element</em>.classList |  | const list = element.classList;<br/> list.add("myStyle"); |  
<b>Element property / method</b>: classname | <b>Element property / method</b> that sets or returns the value of the class attribute of an element. |  |  | element.className = "myStyle"; |  
<b>Element property / method</b>: <em>element</em>.click() | <b>Element property / method</b> that simulates a mouse-click on an element. | <em>element</em>.click() |  | &lt;input type="checkbox" id="myCheck" onmouseover="myFunction()";<br/><br/> &lt;script&gt;<br/> function myFunction() {<br/>  document.getElementById("myCheck").click();<br/> } <br/> &lt;/script&gt; |  
<b>Element property / method</b>: <em>element</em>.clientHeight | <b>Element property / method</b> that returns the height of an element, including padding. | <em>element</em>.clientHeight |  | const element = document.getElementById("myDIV");<br/> let text = "clientHeight: " + element.clientHeight + "px&lt;br&gt;";<br/> text += "clientWidth: " + element.clientWidth + "px"; |  
<b>Element property / method</b>: <em>element</em>.clientLeft | <b>Element property / method</b> that returns the width of the left border of an element. | <em>element</em>.clientLeft |  | const elmnt = document.getElementById("myDIV");<br/> let text = "Border top width: " + elmnt.clientTop + "px&lt;br&gt;";<br/> text += "Border left width: " + elmnt.clientLeft + "px"; |  
<b>Element property / method</b>: <em>element</em>.clientTop | <b>Element property / method</b> that returns the width of the top border of an element. | <em>element</em>.clientTop |  | const element = document.getElementById("myDIV");<br/> let text = "clientTop: " + element.clientTop + "px&lt;br&gt;";<br/> text += "clientLeft: " + element.clientLeft + "px"; |  
<b>Element property / method</b>: <em>element</em>.clientWidth | <b>Element property / method</b> that returns the width of an element, including padding. | <em>element</em>.clientWidth |  | const element = document.getElementById("myDIV");<br/> let text = "clientHeight: " + element.clientHeight + "px&lt;br&gt;";<br/> text += "clientWidth: " + element.clientWidth + "px"; |  
<b>Element property / method</b>: <i>node</i>.cloneNode(<i>deep</i>) | <b>Element property / method</b> that clones an element. | <i>node</i>.cloneNode(<i>deep</i>) |  | const node = document.getElementById("myList2").lastChild;<br/> const clone = node.cloneNode(true);<br/><br/> document.getElementById("myList1").appendChild(clone); |  
<b>Element property / method</b>: <i>element</i>.closest(<i>selectors</i>) | <b>Element property / method</b> that searches the dom tree for the closest element that matches a css selector. | <i>element</i>.closest(<i>selectors</i>) |  | const element = document.getElementById("myElement");<br/> const closest = element.closest(".container"); |  
<b>Element property / method</b>: <i>node</i>.compareDocumentPosition(<i>node</i>) | <b>Element property / method</b> that compares the document position of two elements. | <i>node</i>.compareDocumentPosition(<i>node</i>) |  | const p1 = document.getElementById("p1");<br/> const p2 = document.getElementById("p2");<br/>  let position = p1.compareDocumentPosition(p2); |  
<b>Element property / method</b>: <i>node</i>.contains(<i>node</i>) | <b>Element property / method</b> that returns true if a node is a descendant of a node. | <i>node</i>.contains(<i>node</i>) |  | const span = document.getElementById("mySPAN");<br/> let answer = document.getElementById("myDIV").contains(span); |  
<b>Element property / method</b>: contenteditable | <b>Element property / method</b> that sets or returns whether the content of an element is editable or not. |  |  | &lt;p id="myP" contenteditable="true"&gt;I am editable.&lt;/p&gt; |  
<b>Element property / method</b>: dir | <b>Element property / method</b> that sets or returns the value of the dir attribute of an element. |  |  | document.getElementById("myP").dir = "rtl"; |  
<b>Element property / method</b>: firstchild | <b>Element property / method</b> that returns the first child node of an element. |  |  | document.getElementById("myList").firstChild.innerHTML; |  
<b>Element property / method</b>: <em>element</em>.firstElementChild | <b>Element property / method</b> that returns the first child element of an element. | <em>element</em>.firstElementChild |  | let text = element.firstElementChild.innerHTML; |  
<b>Element property / method</b>: <em>element</em>.focus() | <b>Element property / method</b> that gives focus to an element. | <em>element</em>.focus() |  | document.getElementById("myAnchor").focus(); |  
<b>Element property / method</b>: <i>element</i>.getAttribute(<em>name</em>) | <b>Element property / method</b> that returns the value of an element's attribute. | <i>element</i>.getAttribute(<em>name</em>) |  | let text = element.getAttribute("class"); |  
<b>Element property / method</b>: <i>element</i>.getAttributeNode(<em>name</em>) | <b>Element property / method</b> that returns an attribute node. | <i>element</i>.getAttributeNode(<em>name</em>) |  | const element = document.getElementsByTagName("H1")[0];<br/> let text = element.getAttributeNode("class").value; |  
<b>Element property / method</b>: <em>element</em>.getBoundingClientRect() | <b>Element property / method</b> that returns the size of an element and its position relative to the viewport. | <em>element</em>.getBoundingClientRect() |  | const rect = element.getBoundingClientRect(); |  
<b>Element property / method</b>: <em>element</em>.getElementsByClassName(<em>classname</em>) | <b>Element property / method</b> that returns a collection of child elements with a given class name. | <em>element</em>.getElementsByClassName(<em>classname</em>) |  | const list = document.getElementsByClassName("example")[0];<br/> list.getElementsByClassName("child")[0].innerHTML = "Milk";<br/> |  
