<b>Dom_obj_event.asp event</b>: &lt;<i>element</i> onabort="<i>myScript</i>"&gt; | <b>Dom_obj_event.asp event</b> that the event occurs when the loading of a media is aborted. | &lt;<i>element</i> onabort="<i>myScript</i>"&gt; |  | &lt;video onabort="myFunction()"&gt; |  
<b>Dom_obj_event.asp event</b>: &lt;<i>element</i> onafterprint="<i>myScript</i>"&gt; | <b>Dom_obj_event.asp event</b> that the event occurs when a page has started printing, or if the print dialogue box has been closed. | &lt;<i>element</i> onafterprint="<i>myScript</i>"&gt; |  | &lt;body onafterprint="myFunction()"&gt; |  
<b>Dom_obj_event.asp event</b>: object.addEventListener("webkitAnimationEnd", <em>myScript</em>);  // Code for Chrome, Safari and Opera<em><br/>object</em>.addEventListener("animationend", <em>myScript</em>);        // Standard syntax<br/> | <b>Dom_obj_event.asp event</b> that the event occurs when a css animation has completed. | object.addEventListener("webkitAnimationEnd", <em>myScript</em>);  // Code for Chrome, Safari and Opera<em><br/>object</em>.addEventListener("animationend", <em>myScript</em>);        // Standard syntax<br/> |  | var x = document.getElementById("myDIV");<br/><br/>// Code for Chrome, Safari and Opera<br/>  x.addEventListener("webkitAnimationEnd", myEndFunction);<br/><br/>// Standard syntax<br/>x.addEventListener("animationend", myEndFunction); |  
<b>Dom_obj_event.asp event</b>: object.addEventListener("webkitAnimationIteration", <em>myScript</em>);  // Code for Chrome, Safari and Opera<em><br/>object</em>.addEventListener("animationiteration", <em>myScript</em>);        // Standard syntax<br/> | <b>Dom_obj_event.asp event</b> that the event occurs when a css animation is repeated. | object.addEventListener("webkitAnimationIteration", <em>myScript</em>);  // Code for Chrome, Safari and Opera<em><br/>object</em>.addEventListener("animationiteration", <em>myScript</em>);        // Standard syntax<br/> |  | var x = document.getElementById("myDIV");<br/><br/>// Code for Chrome, Safari and Opera<br/>  x.addEventListener("webkitAnimationIteration", myRepeatFunction);<br/><br/>// Standard syntax<br/>x.addEventListener("animationiteration", myRepeatFunction); |  
<b>Dom_obj_event.asp event</b>: object.addEventListener("webkitAnimationStart", <em>myScript</em>);  // Code for Chrome, Safari and Opera<em><br/>object</em>.addEventListener("animationstart", <em>myScript</em>);        // Standard syntax<br/> | <b>Dom_obj_event.asp event</b> that the event occurs when a css animation has started. | object.addEventListener("webkitAnimationStart", <em>myScript</em>);  // Code for Chrome, Safari and Opera<em><br/>object</em>.addEventListener("animationstart", <em>myScript</em>);        // Standard syntax<br/> |  | var x = document.getElementById("myDIV");<br/><br/>// Code for Chrome, Safari and Opera<br/>  x.addEventListener("webkitAnimationStart", myStartFunction);<br/><br/>// Standard syntax<br/>x.addEventListener("animationstart", myStartFunction); |  
<b>Dom_obj_event.asp event</b>: &lt;<i>element</i> onbeforeprint="<i>myScript</i>"&gt; | <b>Dom_obj_event.asp event</b> that the event occurs when a page is about to be printed. | &lt;<i>element</i> onbeforeprint="<i>myScript</i>"&gt; |  | &lt;body onbeforeprint="myFunction()"&gt; |  
<b>Dom_obj_event.asp event</b>: &lt;<i>element</i> onbeforeunload="<i>myScript</i>"&gt; | <b>Dom_obj_event.asp event</b> that the event occurs before the document is about to be unloaded. | &lt;<i>element</i> onbeforeunload="<i>myScript</i>"&gt; |  | &lt;body onbeforeunload="return myFunction()"&gt; |  
<b>Dom_obj_event.asp event</b>: &lt;<i>element</i> onblur="<i>myScript</i>"&gt; | <b>Dom_obj_event.asp event</b> that the event occurs when an element loses focus. | &lt;<i>element</i> onblur="<i>myScript</i>"&gt; |  | &lt;input type="text" onblur="myFunction()"&gt; |  
<b>Dom_obj_event.asp event</b>: &lt;<i>element</i> oncanplay="<i>myScript</i>"&gt; | <b>Dom_obj_event.asp event</b> that the event occurs when the browser can start playing the media (when it has buffered  enough to begin). | &lt;<i>element</i> oncanplay="<i>myScript</i>"&gt; |  | &lt;video oncanplay="myFunction()"&gt; |  
<b>Dom_obj_event.asp event</b>: &lt;<i>element</i> oncanplaythrough="<i>myScript</i>"&gt; | <b>Dom_obj_event.asp event</b> that the event occurs when the browser can play through the media without  stopping for buffering. | &lt;<i>element</i> oncanplaythrough="<i>myScript</i>"&gt; |  | &lt;video oncanplaythrough="myFunction()"&gt; |  
<b>Dom_obj_event.asp event</b>: &lt;<i>element</i> onchange="<i>myScript</i>"&gt; | <b>Dom_obj_event.asp event</b> that the event occurs when the content of a form element, the selection, or the checked state have changed (for <input>, <select>, and <textarea>). | &lt;<i>element</i> onchange="<i>myScript</i>"&gt; |  | &lt;select onchange="myFunction()"&gt; |  
<b>Dom_obj_event.asp event</b>: click | <b>Dom_obj_event.asp event</b> that the event occurs when the user clicks on an element. |  |  | &lt;button onclick="myFunction()"&gt;Click me&lt;/button&gt; |  
<b>Dom_obj_event.asp event</b>: &lt;<i>element</i> oncontextmenu="<i>myScript</i>"&gt; | <b>Dom_obj_event.asp event</b> that the event occurs when the user right-clicks on an element to open a context menu. | &lt;<i>element</i> oncontextmenu="<i>myScript</i>"&gt; |  | &lt;div oncontextmenu="myFunction()" contextmenu="mymenu"&gt; |  
<b>Dom_obj_event.asp event</b>: &lt;<i>element</i> oncopy="<i>myScript</i>"&gt; | <b>Dom_obj_event.asp event</b> that the event occurs when the user copies the content of an element. | &lt;<i>element</i> oncopy="<i>myScript</i>"&gt; |  | &lt;input type="text" oncopy="myFunction()" value="Try to copy this text"&gt; |  
<b>Dom_obj_event.asp event</b>: &lt;<i>element</i> oncut="<i>myScript</i>"&gt; | <b>Dom_obj_event.asp event</b> that the event occurs when the user cuts the content of an element. | &lt;<i>element</i> oncut="<i>myScript</i>"&gt; |  | &lt;input type="text" oncut="myFunction()" value="Try to cut this text"&gt; |  
<b>Dom_obj_event.asp event</b>: &lt;<i>element</i> ondblclick="<i>myScript</i>"&gt; | <b>Dom_obj_event.asp event</b> that the event occurs when the user double-clicks on an element. | &lt;<i>element</i> ondblclick="<i>myScript</i>"&gt; |  | &lt;p ondblclick="myFunction()"&gt;Double-click me&lt;/p&gt; |  
<b>Dom_obj_event.asp event</b>: &lt;<i>element</i> ondrag="<i>myScript</i>"&gt; | <b>Dom_obj_event.asp event</b> that the event occurs when an element is being dragged. | &lt;<i>element</i> ondrag="<i>myScript</i>"&gt; |  | &lt;p draggable="true" ondrag="myFunction(event)"&gt;Drag me!&lt;/p&gt; |  
<b>Dom_obj_event.asp event</b>: &lt;<i>element</i> ondragend="<i>myScript</i>"&gt; | <b>Dom_obj_event.asp event</b> that the event occurs when the user has finished dragging an element. | &lt;<i>element</i> ondragend="<i>myScript</i>"&gt; |  | &lt;p draggable="true" ondragend="myFunction(event)"&gt;Drag me!&lt;/p&gt; |  
<b>Dom_obj_event.asp event</b>: &lt;<i>element</i> ondragenter="<i>myScript</i>"&gt; | <b>Dom_obj_event.asp event</b> that the event occurs when the dragged element enters the drop target. | &lt;<i>element</i> ondragenter="<i>myScript</i>"&gt; |  | &lt;div ondragenter="myFunction(event)"&gt;&lt;/div&gt; |  
<b>Dom_obj_event.asp event</b>: &lt;<i>element</i> ondragleave="<i>myScript</i>"&gt; | <b>Dom_obj_event.asp event</b> that the event occurs when the dragged element leaves the drop target. | &lt;<i>element</i> ondragleave="<i>myScript</i>"&gt; |  | &lt;div ondragleave="myFunction(event)"&gt;&lt;/div&gt; |  
<b>Dom_obj_event.asp event</b>: &lt;<i>element</i> ondragover="<i>myScript</i>"&gt; | <b>Dom_obj_event.asp event</b> that the event occurs when the dragged element is over the drop target. | &lt;<i>element</i> ondragover="<i>myScript</i>"&gt; |  | &lt;div ondragover="myFunction(event)"&gt;&lt;/div&gt; |  
<b>Dom_obj_event.asp event</b>: &lt;<i>element</i> ondragstart="<i>myScript</i>"&gt; | <b>Dom_obj_event.asp event</b> that the event occurs when the user starts to drag an element. | &lt;<i>element</i> ondragstart="<i>myScript</i>"&gt; |  | &lt;p draggable="true" ondragstart="myFunction(event)"&gt;Drag me!&lt;/p&gt; |  
<b>Dom_obj_event.asp event</b>: &lt;<i>element</i> ondrop="<i>myScript</i>"&gt; | <b>Dom_obj_event.asp event</b> that the event occurs when the dragged element is dropped on the drop target. | &lt;<i>element</i> ondrop="<i>myScript</i>"&gt; |  | &lt;div ondrop="myFunction(event)"&gt;&lt;/div&gt; |  
<b>Dom_obj_event.asp event</b>: &lt;<i>element</i> ondurationchange="<i>myScript</i>"&gt; | <b>Dom_obj_event.asp event</b> that the event occurs when the duration of the media is changed. | &lt;<i>element</i> ondurationchange="<i>myScript</i>"&gt; |  | &lt;video ondurationchange="myFunction()"&gt; |  
<b>Dom_obj_event.asp event</b>: &lt;<i>element</i> onended="<i>myScript</i>"&gt; | <b>Dom_obj_event.asp event</b> that the event occurs when the media has reach the end (useful for messages like "thanks for listening"). | &lt;<i>element</i> onended="<i>myScript</i>"&gt; |  | &lt;audio onended="myFunction()"&gt; |  
<b>Dom_obj_event.asp event</b>: &lt;<i>element</i> onerror="<i>myScript</i>"&gt; | <b>Dom_obj_event.asp event</b> that the event occurs when an error occurs while loading an external file . | &lt;<i>element</i> onerror="<i>myScript</i>"&gt; |  | &lt;img src="image.gif" onerror="myFunction()"&gt; |  
<b>Dom_obj_event.asp event</b>: &lt;<i>element</i> onfocus="<i>myScript</i>"&gt; | <b>Dom_obj_event.asp event</b> that the event occurs when an element gets focus. | &lt;<i>element</i> onfocus="<i>myScript</i>"&gt; |  | &lt;input type="text"  onfocus="myFunction()"&gt; |  
<b>Dom_obj_event.asp event</b>: &lt;<i>element</i> onfocusin="<i>myScript</i>"&gt; | <b>Dom_obj_event.asp event</b> that the event occurs when an element is about to get focus. | &lt;<i>element</i> onfocusin="<i>myScript</i>"&gt; |  | &lt;input type="text"  onfocusin="myFunction()"&gt; |  
<b>Dom_obj_event.asp event</b>: &lt;<i>element</i> onfocusout="<i>myScript</i>"&gt; | <b>Dom_obj_event.asp event</b> that the event occurs when an element is about to lose focus. | &lt;<i>element</i> onfocusout="<i>myScript</i>"&gt; |  | &lt;input type="text"  onfocusout="myFunction()"&gt; |  
<b>Dom_obj_event.asp event</b>: &lt;<i>element</i> onfullscreenchange="<i>myScript</i>"&gt; | <b>Dom_obj_event.asp event</b> that the event occurs when an element is displayed in fullscreen mode. | &lt;<i>element</i> onfullscreenchange="<i>myScript</i>"&gt; |  | document.addEventListener("fullscreenchange", function() {<br/>     output.innerHTML = "fullscreenchange event fired!";<br/>}); |  
<b>Dom_obj_event.asp event</b>: &lt;<i>element</i> onfullscreenerror="<i>myScript</i>"&gt; | <b>Dom_obj_event.asp event</b> that the event occurs when an element can not be displayed in fullscreen mode. | &lt;<i>element</i> onfullscreenerror="<i>myScript</i>"&gt; |  | document.addEventListener("fullscreenerror", function() {<br/>     alert("Fullscreen denied")<br/>}); |  
<b>Dom_obj_event.asp event</b>: &lt;<i>element</i> onhashchange="<i>myScript</i>"&gt; | <b>Dom_obj_event.asp event</b> that the event occurs when there has been changes to the anchor part of a url. | &lt;<i>element</i> onhashchange="<i>myScript</i>"&gt; |  | &lt;body onhashchange="myFunction()"&gt; |  
<b>Dom_obj_event.asp event</b>: &lt;<i>element</i> oninput="<i>myScript</i>"&gt; | <b>Dom_obj_event.asp event</b> that the event occurs when an element gets user input. | &lt;<i>element</i> oninput="<i>myScript</i>"&gt; |  | &lt;input type="text" oninput="myFunction()"&gt; |  
<b>Dom_obj_event.asp event</b>: &lt;<i>element</i> oninvalid="<i>myScript</i>"&gt; | <b>Dom_obj_event.asp event</b> that the event occurs when an element is invalid. | &lt;<i>element</i> oninvalid="<i>myScript</i>"&gt; |  | &lt;input type="text" oninvalid="alert('You must fill out the form!');" required&gt; |  
<b>Dom_obj_event.asp event</b>: &lt;<i>element</i> onkeydown="<i>myScript</i>"&gt; | <b>Dom_obj_event.asp event</b> that the event occurs when the user is pressing a key. | &lt;<i>element</i> onkeydown="<i>myScript</i>"&gt; |  | &lt;input type="text" onkeydown="myFunction()"&gt; |  
<b>Dom_obj_event.asp event</b>: &lt;<i>element</i> onkeypress="<i>myScript</i>"&gt; | <b>Dom_obj_event.asp event</b> that the event occurs when the user presses a key. | &lt;<i>element</i> onkeypress="<i>myScript</i>"&gt; |  | &lt;input type="text" onkeypress="myFunction()"&gt; |  
<b>Dom_obj_event.asp event</b>: &lt;<i>element</i> onkeyup="<i>myScript</i>"&gt; | <b>Dom_obj_event.asp event</b> that the event occurs when the user releases a key. | &lt;<i>element</i> onkeyup="<i>myScript</i>"&gt; |  | &lt;input type="text" onkeyup="myFunction()"&gt; |  
<b>Dom_obj_event.asp event</b>: &lt;<i>element</i> onload="<i>myScript</i>"&gt; | <b>Dom_obj_event.asp event</b> that the event occurs when an object has loaded. | &lt;<i>element</i> onload="<i>myScript</i>"&gt; |  | &lt;body onload="myFunction()"&gt; |  
<b>Dom_obj_event.asp event</b>: &lt;<i>element</i> onloadeddata="<i>myScript</i>"&gt; | <b>Dom_obj_event.asp event</b> that the event occurs when media data is loaded. | &lt;<i>element</i> onloadeddata="<i>myScript</i>"&gt; |  | &lt;video onloadeddata="myFunction()"&gt; |  
<b>Dom_obj_event.asp event</b>: &lt;<i>element</i> onloadedmetadata="<i>myScript</i>"&gt; | <b>Dom_obj_event.asp event</b> that the event occurs when meta data (like dimensions and duration) are loaded. | &lt;<i>element</i> onloadedmetadata="<i>myScript</i>"&gt; |  | &lt;video onloadedmetadata="myFunction()"&gt; |  
<b>Dom_obj_event.asp event</b>: &lt;<i>element</i> onloadstart="<i>myScript</i>"&gt; | <b>Dom_obj_event.asp event</b> that the event occurs when the browser starts looking for the specified media. | &lt;<i>element</i> onloadstart="<i>myScript</i>"&gt; |  | &lt;video onloadstart="myFunction()"&gt; |  
<b>Dom_obj_event.asp event</b>: <em>object</em>.onmessage = function(){<i>myScript</i>}; | <b>Dom_obj_event.asp event</b> that the event occurs when a message is received through the event source. | <em>object</em>.onmessage = function(){<i>myScript</i>}; |  | var source = new EventSource("demo_sse.php");<br/>source.onmessage = function(event) {<br/>  document.getElementById("myDIV").innerHTML += event.data + "&lt;br&gt;";<br/>}; |  
<b>Dom_obj_event.asp event</b>: &lt;<i>element</i> onmousedown="<i>myScript</i>"&gt; | <b>Dom_obj_event.asp event</b> that the event occurs when the user presses a mouse button over an element. | &lt;<i>element</i> onmousedown="<i>myScript</i>"&gt; |  | &lt;p onmousedown="myFunction()"&gt;Click the text!&lt;/p&gt; |  
<b>Dom_obj_event.asp event</b>: &lt;<i>element</i> onmouseenter="<i>myScript</i>"&gt; | <b>Dom_obj_event.asp event</b> that the event occurs when the pointer is moved onto an element. | &lt;<i>element</i> onmouseenter="<i>myScript</i>"&gt; |  | &lt;img onmouseenter="bigImg(this)" src="smiley.gif" alt="Smiley"&gt; |  
<b>Dom_obj_event.asp event</b>: &lt;<i>element</i>  onmouseleave="<i>myScript</i>"&gt; | <b>Dom_obj_event.asp event</b> that the event occurs when the pointer is moved out of an element. | &lt;<i>element</i>  onmouseleave="<i>myScript</i>"&gt; |  | &lt;img onmouseleave="normalImg(this)" src="smiley.gif" alt="Smiley"&gt; |  
<b>Dom_obj_event.asp event</b>: &lt;<i>element</i> onmousemove="<i>myScript</i>"&gt; | <b>Dom_obj_event.asp event</b> that the event occurs when the pointer is moving while it is over an element. | &lt;<i>element</i> onmousemove="<i>myScript</i>"&gt; |  | &lt;div onmousemove="myFunction()"&gt;Move the cursor over me&lt;/div&gt; |  
<b>Dom_obj_event.asp event</b>: &lt;<i>element</i> onmouseover="<i>myScript</i>"&gt; | <b>Dom_obj_event.asp event</b> that the event occurs when the pointer is moved onto an element, or onto one of its children. | &lt;<i>element</i> onmouseover="<i>myScript</i>"&gt; |  | &lt;img onmouseover="bigImg(this)" src="smiley.gif" alt="Smiley"&gt; |  
<b>Dom_obj_event.asp event</b>: &lt;<i>element</i> onmouseout="<i>myScript</i>"&gt; | <b>Dom_obj_event.asp event</b> that the event occurs when a user moves the mouse pointer out of an element, or out of one of its children. | &lt;<i>element</i> onmouseout="<i>myScript</i>"&gt; |  | &lt;img onmouseout="normalImg(this)" src="smiley.gif" alt="Smiley"&gt; |  
<b>Dom_obj_event.asp event</b>: &lt;<i>element</i> onmouseup="<i>myScript</i>"&gt; | <b>Dom_obj_event.asp event</b> that the event occurs when a user releases a mouse button over an element. | &lt;<i>element</i> onmouseup="<i>myScript</i>"&gt; |  | &lt;p onmouseup="mouseUp()"&gt;Click the text!&lt;/p&gt; |  
<b>Dom_obj_event.asp event</b>: &lt;<i>element</i> onwheel="<i>myScript</i>"&gt; | <b>Dom_obj_event.asp event</b> that deprecated. use the    wheel event instead. | &lt;<i>element</i> onwheel="<i>myScript</i>"&gt; |  | document.getElementById("myDIV").addEventListener("wheel", myFunction);<br/> <br/>function myFunction() {<br/>  this.style.fontSize = "35px";<br/>} |  
<b>Dom_obj_event.asp event</b>: &lt;<i>element</i> onoffline="<i>myScript</i>"&gt; | <b>Dom_obj_event.asp event</b> that the event occurs when the browser starts to work offline. | &lt;<i>element</i> onoffline="<i>myScript</i>"&gt; |  | &lt;body onoffline="myFunction()"&gt; |  
<b>Dom_obj_event.asp event</b>: &lt;<i>element</i> ononline="<i>myScript</i>"&gt; | <b>Dom_obj_event.asp event</b> that the event occurs when the browser starts to work online. | &lt;<i>element</i> ononline="<i>myScript</i>"&gt; |  | &lt;body ononline="myFunction()"&gt; |  
<b>Dom_obj_event.asp event</b>: <em>object</em>.onopen = function(){<i>myScript</i>}; | <b>Dom_obj_event.asp event</b> that the event occurs when a connection with the event source is opened. | <em>object</em>.onopen = function(){<i>myScript</i>}; |  | var source = new EventSource("demo_sse.php");<br/>source.onopen = function() {<br/>  document.getElementById("myH1").innerHTML = "Getting server updates";<br/>}; |  
<b>Dom_obj_event.asp event</b>: &lt;<i>element</i> onpagehide="<i>myScript</i>"&gt; | <b>Dom_obj_event.asp event</b> that the event occurs when the user navigates away from a webpage. | &lt;<i>element</i> onpagehide="<i>myScript</i>"&gt; |  | &lt;body onpagehide="myFunction()"&gt; |  
<b>Dom_obj_event.asp event</b>: &lt;<i>element</i> onpageshow="<i>myScript</i>"&gt; | <b>Dom_obj_event.asp event</b> that the event occurs when the user navigates to a webpage. | &lt;<i>element</i> onpageshow="<i>myScript</i>"&gt; |  | &lt;body onpageshow="myFunction()"&gt; |  
<b>Dom_obj_event.asp event</b>: &lt;<i>element</i> onpaste="<i>myScript</i>"&gt; | <b>Dom_obj_event.asp event</b> that the event occurs when the user pastes some content in an element. | &lt;<i>element</i> onpaste="<i>myScript</i>"&gt; |  | &lt;input type="text" onpaste="myFunction()" value="Paste something in here"&gt; |  
<b>Dom_obj_event.asp event</b>: &lt;<i>element</i>  onpause="<i>myScript</i>"&gt; | <b>Dom_obj_event.asp event</b> that the event occurs when the media is paused either by the user or  programmatically. | &lt;<i>element</i>  onpause="<i>myScript</i>"&gt; |  | &lt;video onpause="myFunction()"&gt; |  
<b>Dom_obj_event.asp event</b>: &lt;<i>element</i> onplay="<i>myScript</i>"&gt; | <b>Dom_obj_event.asp event</b> that the event occurs when the media has been started or is no longer paused. | &lt;<i>element</i> onplay="<i>myScript</i>"&gt; |  | &lt;video onplay="myFunction()"&gt; |  
<b>Dom_obj_event.asp event</b>: &lt;<i>element</i>  onplaying="<i>myScript</i>"&gt; | <b>Dom_obj_event.asp event</b> that the event occurs when the media is playing after having been paused or stopped for buffering. | &lt;<i>element</i>  onplaying="<i>myScript</i>"&gt; |  | &lt;video onplaying="myFunction()"&gt; |  
<b>Dom_obj_event.asp event</b>: popstate | <b>Dom_obj_event.asp event</b> that the event occurs when the window's history changes. |  |  |  |  
<b>Dom_obj_event.asp event</b>: &lt;<i>element</i> onprogress="<i>myScript</i>"&gt; | <b>Dom_obj_event.asp event</b> that the event occurs when the browser is in the process of getting the media  data (downloading the media). | &lt;<i>element</i> onprogress="<i>myScript</i>"&gt; |  | &lt;video onprogress="myFunction()"&gt; |  
<b>Dom_obj_event.asp event</b>: &lt;<i>element</i> onratechange="<i>myScript</i>"&gt; | <b>Dom_obj_event.asp event</b> that the event occurs when the playing speed of the media is changed. | &lt;<i>element</i> onratechange="<i>myScript</i>"&gt; |  | &lt;video onratechange="myFunction()"&gt; |  
<b>Dom_obj_event.asp event</b>: &lt;<i>element</i> onresize="<i>myScript</i>"&gt; | <b>Dom_obj_event.asp event</b> that the event occurs when the document view is resized. | &lt;<i>element</i> onresize="<i>myScript</i>"&gt; |  | &lt;body onresize="myFunction()"&gt; |  
<b>Dom_obj_event.asp event</b>: &lt;<i>element</i> onreset="<i>myScript</i>"&gt; | <b>Dom_obj_event.asp event</b> that the event occurs when a form is reset. | &lt;<i>element</i> onreset="<i>myScript</i>"&gt; |  | &lt;form onreset="myFunction()"&gt;<br/>  Enter name: &lt;input type="text"&gt;<br/>  &lt;input type="reset"&gt;<br/>&lt;/form&gt; |  
<b>Dom_obj_event.asp event</b>: &lt;<i>element</i> onscroll="<i>myScript</i>"&gt; | <b>Dom_obj_event.asp event</b> that the event occurs when an element's scrollbar is being scrolled. | &lt;<i>element</i> onscroll="<i>myScript</i>"&gt; |  | &lt;div onscroll="myFunction()"&gt; |  
<b>Dom_obj_event.asp event</b>: &lt;<i>element</i> onsearch="<i>myScript</i>"&gt; | <b>Dom_obj_event.asp event</b> that the event occurs when the user writes something in a search field (for <input="search">). | &lt;<i>element</i> onsearch="<i>myScript</i>"&gt; |  | &lt;input type="search" onsearch="myFunction()"&gt; |  
<b>Dom_obj_event.asp event</b>: &lt;<i>element</i> onseeked="<i>myScript</i>"&gt; | <b>Dom_obj_event.asp event</b> that the event occurs when the user is finished moving/skipping to a new position  in the media. | &lt;<i>element</i> onseeked="<i>myScript</i>"&gt; |  | &lt;video onseeked="myFunction()"&gt; |  
<b>Dom_obj_event.asp event</b>: &lt;<i>element</i> onseeking="<i>myScript</i>"&gt; | <b>Dom_obj_event.asp event</b> that the event occurs when the user starts moving/skipping to a new position in  the media. | &lt;<i>element</i> onseeking="<i>myScript</i>"&gt; |  | &lt;video onseeking="myFunction()"&gt; |  
<b>Dom_obj_event.asp event</b>: &lt;<i>element</i> onselect="<i>myScript</i>"&gt; | <b>Dom_obj_event.asp event</b> that the event occurs after the user selects some text (for <input> and <textarea>). | &lt;<i>element</i> onselect="<i>myScript</i>"&gt; |  | &lt;input type="text" onselect="myFunction()"&gt; |  
<b>Dom_obj_event.asp event</b>: &lt;<i>element</i> onshow="<i>myScript</i>"&gt; | <b>Dom_obj_event.asp event</b> that the event occurs when a <menu> element is shown as a context menu. | &lt;<i>element</i> onshow="<i>myScript</i>"&gt; |  | &lt;div contextmenu="mymenu"&gt;<br/>  &lt;p&gt;Right-click inside this box to see the context menu!<br/>  &lt;menu type="context" id="mymenu" onshow="myFunction()"&gt;<br/>    &lt;menuitem label="Refresh" onclick="window.location.reload();"&gt;&lt;/menuitem&gt;<br/>  &lt;/menu&gt;<br/>&lt;/div&gt; |  
<b>Dom_obj_event.asp event</b>: &lt;<i>element</i> onstalled="<i>myScript</i>"&gt; | <b>Dom_obj_event.asp event</b> that the event occurs when the browser is trying to get media data, but data is not available. | &lt;<i>element</i> onstalled="<i>myScript</i>"&gt; |  | &lt;video onstalled="myFunction()"&gt; |  
<b>Dom_obj_event.asp event</b>: storage | <b>Dom_obj_event.asp event</b> that the event occurs when a web storage area is updated. |  |  |  |  
<b>Dom_obj_event.asp event</b>: &lt;<i>element</i> onsubmit="<i>myScript</i>"&gt; | <b>Dom_obj_event.asp event</b> that the event occurs when a form is submitted. | &lt;<i>element</i> onsubmit="<i>myScript</i>"&gt; |  | &lt;form onsubmit="myFunction()"&gt;<br/>  Enter name: &lt;input type="text"&gt;<br/>  &lt;input type="submit"&gt;<br/>&lt;/form&gt; |  
<b>Dom_obj_event.asp event</b>: &lt;<i>element</i> onsuspend="<i>myScript</i>"&gt; | <b>Dom_obj_event.asp event</b> that the event occurs when the browser is intentionally not getting media data. | &lt;<i>element</i> onsuspend="<i>myScript</i>"&gt; |  | &lt;video onsuspend="myFunction()"&gt; |  
<b>Dom_obj_event.asp event</b>: &lt;<i>element</i> ontimeupdate="<i>myScript</i>"&gt; | <b>Dom_obj_event.asp event</b> that the event occurs when the playing position has changed (like when the user  fast forwards to a different point in the media). | &lt;<i>element</i> ontimeupdate="<i>myScript</i>"&gt; |  | &lt;video ontimeupdate="myFunction()"&gt; |  
<b>Dom_obj_event.asp event</b>: &lt;<i>element</i> ontoggle="<i>myScript</i>"&gt; | <b>Dom_obj_event.asp event</b> that the event occurs when the user opens or closes the <details> element. | &lt;<i>element</i> ontoggle="<i>myScript</i>"&gt; |  | &lt;details ontoggle="myFunction()"&gt; |  
<b>Dom_obj_event.asp event</b>: &lt;<i>element</i> ontouchcancel="<i>myScript</i>"&gt; | <b>Dom_obj_event.asp event</b> that the event occurs when the touch is interrupted. | &lt;<i>element</i> ontouchcancel="<i>myScript</i>"&gt; |  | &lt;p ontouchcancel="myFunction(event)"&gt;Touch me!&lt;/p&gt; |  
<b>Dom_obj_event.asp event</b>: &lt;<i>element</i> ontouchend="<i>myScript</i>"&gt; | <b>Dom_obj_event.asp event</b> that the event occurs when a finger is removed from a touch screen. | &lt;<i>element</i> ontouchend="<i>myScript</i>"&gt; |  | &lt;p ontouchend="myFunction(event)"&gt;Touch me!&lt;/p&gt; |  
