<b>Obj_window.asp property</b>: window.closed | <b>Obj_window.asp property</b> that returns a boolean true if a window is closed.. | window.closed |  | function checkWin() {<br/>  if (!myWindow) {<br/>     text = "It has never been opened!";<br/>   } else {<br/>       if (myWindow.closed) { <br/>         text = "It is closed.";<br/>     } else {<br/>       text = "It is open.";<br/>       }<br/>     } <br/> } |  
<b>Obj_window.asp property</b>: console | <b>Obj_window.asp property</b> that returns the console object for the window.     see also the console object.. |  |  | window.console.error("You made a mistake"); |  
<b>Obj_window.asp property</b>: window.defaultStatus | <b>Obj_window.asp property</b> that deprecated.. | window.defaultStatus |  | window.defaultStatus = "Default text in the status bar!"<br/> |  
<b>Obj_window.asp property</b>: document | <b>Obj_window.asp property</b> that returns the document object for the window.     see also the document object.. |  |  | let url = window.document.URL; |  
<b>Obj_window.asp property</b>: frameelement | <b>Obj_window.asp property</b> that returns the frame in which the window runs.. |  |  | if (window.frameElement) {<br/>   let answer = "YES";<br/> } |  
<b>Obj_window.asp property</b>: window.frames | <b>Obj_window.asp property</b> that returns all window objects running in the window.. | window.frames |  | window.frames[0].location = "https://www.w3schools.com/jsref/"; |  
<b>Obj_window.asp property</b>: history | <b>Obj_window.asp property</b> that returns the history object for the window.     see also the history object.. |  |  | let length = window.history.length; |  
<b>Obj_window.asp property</b>: innerheight | <b>Obj_window.asp property</b> that returns the height of the window's content area (viewport) including      scrollbars. |  |  | let height = window.innerHeight; |  
<b>Obj_window.asp property</b>: innerwidth | <b>Obj_window.asp property</b> that returns the width of a window's content area (viewport) including      scrollbars. |  |  | let width = window.innerWidth; |  
<b>Obj_window.asp property</b>: window.length | <b>Obj_window.asp property</b> that returns the number of <iframe> elements in the current window. | window.length |  | let length = window.length; |  
<b>Obj_window.asp property</b>: localstorage | <b>Obj_window.asp property</b> that allows to save key/value pairs in a web browser. stores the data with no expiration date. |  |  | localStorage.setItem("lastname", "Smith");<br/> localStorage.getItem("lastname"); |  
<b>Obj_window.asp property</b>: location | <b>Obj_window.asp property</b> that returns the location object for the window.     see also the the location object.. |  |  | let origin = window.location.origin; |  
<b>Obj_window.asp property</b>: name | <b>Obj_window.asp property</b> that sets or returns the name of a window. |  |  | let name = window.name; |  
<b>Obj_window.asp property</b>: navigator | <b>Obj_window.asp property</b> that returns the navigator object for the window.     see also the navigator object.. |  |  | let url = window.navigator.language; |  
<b>Obj_window.asp property</b>: <i>window</i>.opener | <b>Obj_window.asp property</b> that returns a reference to the window that created the window. | <i>window</i>.opener |  | const myWindow = window.open("", "", "width=300,height=300");<br/> myWindow.opener.document.getElementById("demo").innerHTML = "HELLO!"; |  
<b>Obj_window.asp property</b>: outerheight | <b>Obj_window.asp property</b> that returns the height of the browser window, including toolbars/scrollbars. |  |  | let height = window.outerHeight; |  
<b>Obj_window.asp property</b>: outerwidth | <b>Obj_window.asp property</b> that returns the width of the browser window, including toolbars/scrollbars. |  |  | let width = window.outerWidth; |  
<b>Obj_window.asp property</b>: pagexoffset | <b>Obj_window.asp property</b> that returns the pixels the current document has been scrolled (horizontally) from the upper left corner of the window. |  |  | window.scrollBy(100, 100);<br/>  alert(window.pageXOffset + window.pageYOffset);<br/> |  
<b>Obj_window.asp property</b>: pageyoffset | <b>Obj_window.asp property</b> that returns the pixels the current document has been scrolled (vertically) from the upper left corner of the window. |  |  | window.scrollBy(100, 100);<br/>  alert(window.pageXOffset + window.pageYOffset);<br/> |  
<b>Obj_window.asp property</b>: parent | <b>Obj_window.asp property</b> that returns the parent window of the current window. |  |  | parent.document.body.style.backgroundColor = "lightblue"; |  
<b>Obj_window.asp property</b>: screen | <b>Obj_window.asp property</b> that returns the screen object for the window     see also the screen object. |  |  |  |  
<b>Obj_window.asp property</b>: window.screenLeft | <b>Obj_window.asp property</b> that returns the horizontal coordinate of the window relative to the screen. | window.screenLeft |  | let x = window.screenLeft;<br/> let y = window.screenTop; |  
<b>Obj_window.asp property</b>: window.screenTop | <b>Obj_window.asp property</b> that returns the vertical coordinate of the window relative to the screen. | window.screenTop |  | let x = window.screenLeft;<br/> let y = window.screenTop; |  
