<b>Math property</b>: None | <b>Math property</b> that returns euler's number (approx. 2.718). | None |  | <div class="w3-code notranslate jsHigh"> let x = Math.E; </div> |  
<b>Math property</b>: None | <b>Math property</b> that returns the natural logarithm of 2 (approx. 0.693). | None |  | <div class="w3-code notranslate jsHigh"> let x = Math.LN2; </div> |  
<b>Math property</b>: None | <b>Math property</b> that returns the natural logarithm of 10 (approx. 2.302). | None |  | <div class="w3-code notranslate jsHigh"> let x = Math.LN10; </div> |  
<b>Math property</b>: None | <b>Math property</b> that returns the base-2 logarithm of e (approx. 1.442). | None |  | <div class="w3-code notranslate jsHigh"> let x = Math.LOG2E; </div> |  
<b>Math property</b>: None | <b>Math property</b> that returns the base-10 logarithm of e (approx. 0.434). | None |  | <div class="w3-code notranslate jsHigh"> let x = Math.LOG10E; </div> |  
<b>Math property</b>: None | <b>Math property</b> that returns pi (approx. 3.14). | None |  | <div class="w3-code notranslate jsHigh"> let x = Math.PI; </div> |  
<b>Math property</b>: None | <b>Math property</b> that returns the square root of 1/2 (approx. 0.707). | None |  | <div class="w3-code notranslate jsHigh"> let x = Math.SQRT1_2; </div> |  
<b>Math property</b>: None | <b>Math property</b> that returns the square root of 2 (approx. 1.414). | None |  | <div class="w3-code notranslate jsHigh"> let x = Math.SQRT2; </div> |  
<b>Math method</b>: None | <b>Math method</b> that returns the absolute value of x. | None |  | <div class="w3-code notranslate jsHigh"> let x = Math.abs(-7.25); </div> |  
<b>Math method</b>: None | <b>Math method</b> that returns the arccosine of x, in radians. | None |  | <div class="w3-code notranslate jsHigh"> let x = Math.acos(0.5); </div> |  
<b>Math method</b>: None | <b>Math method</b> that returns the hyperbolic arccosine of x. | None |  | <div class="w3-code notranslate jsHigh"> let x = Math.acosh(2); </div> |  
<b>Math method</b>: None | <b>Math method</b> that returns the arcsine of x, in radians. | None |  | <div class="w3-code notranslate jsHigh"> let x = Math.asin(0.5); </div> |  
<b>Math method</b>: None | <b>Math method</b> that returns the hyperbolic arcsine of x. | None |  | <div class="w3-code notranslate jsHigh"> let x = Math.asinh(1); </div> |  
<b>Math method</b>: None | <b>Math method</b> that returns the arctangent of x as a numeric value between -pi/2 and pi/2 radians. | None |  | <div class="w3-code notranslate jsHigh"> let x = Math.atan(2); </div> |  
