<b>String method</b>: None | <b>String method</b> that returns the character at a specified index (position). | None |  | None |  
<b>String method</b>: None | <b>String method</b> that returns the unicode of the character at a specified index. | None |  | None |  
<b>String method</b>: None | <b>String method</b> that returns two or more joined strings. | None |  | None |  
<b>String method</b>: None | <b>String method</b> that returns if a string ends with a specified value. | None |  | None |  
<b>String method</b>: None | <b>String method</b> that returns unicode values as characters. | None |  | None |  
<b>String method</b>: None | <b>String method</b> that returns if a string contains a specified value. | None |  | None |  
<b>String method</b>: None | <b>String method</b> that returns the index (position) of the first occurrence of a value in a string. | None |  | None |  
<b>String method</b>: None | <b>String method</b> that returns the index (position) of the last occurrence of a value in a string. | None |  | None |  
<b>String method</b>: None | <b>String method</b> that compares two strings in the current locale. | None |  | None |  
<b>String method</b>: None | <b>String method</b> that searches a string for a value, or a regular expression, and returns the matches. | None |  | None |  
<b>String method</b>: None | <b>String method</b> that returns a new string with a number of copies of a string. | None |  | None |  
<b>String method</b>: None | <b>String method</b> that searches a string for a value, or a regular expression, and returns a string where the values are replaced. | None |  | None |  
<b>String method</b>: None | <b>String method</b> that searches a string for a value, or regular expression, and returns the index (position) of the match. | None |  | None |  
<b>String method</b>: None | <b>String method</b> that extracts a part of a string and returns a new string. | None |  | None |  
<b>String method</b>: None | <b>String method</b> that splits a string into an array of substrings. | None |  | None |  
<b>String method</b>: None | <b>String method</b> that checks whether a string begins with specified characters. | None |  | None |  
<b>String method</b>: None | <b>String method</b> that extracts a number of characters from a string, from a start index (position). | None |  | None |  
<b>String method</b>: None | <b>String method</b> that extracts characters from a string, between two specified indices (positions). | None |  | None |  
<b>String method</b>: None | <b>String method</b> that returns a string converted to lowercase letters, using the host's locale. | None |  | None |  
<b>String method</b>: None | <b>String method</b> that returns a string converted to uppercase letters, using the host's locale. | None |  | None |  
<b>String method</b>: None | <b>String method</b> that returns a string converted to lowercase letters. | None |  | None |  
<b>String method</b>: None | <b>String method</b> that returns a string or a string object as a string. | None |  | None |  
<b>String method</b>: None | <b>String method</b> that returns a string converted to uppercase letters. | None |  | None |  
<b>String method</b>: None | <b>String method</b> that returns a string with removed whitespaces. | None |  | None |  
<b>String method</b>: None | <b>String method</b> that returns the primitive value of a string or a string object. | None |  | None |  
<b>String property</b>: None | <b>String property</b> that returns the string's constructor function. | None |  | None |  
<b>String property</b>: None | <b>String property</b> that returns the length of a string. | None |  | None |  
<b>String property</b>: None | <b>String property</b> that allows you to add properties and methods to an object. | None |  | None |  
<b>String method</b>: None | <b>String method</b> that displays a string as an anchor. | None |  | None |  
<b>String method</b>: None | <b>String method</b> that displays a string using a big font. | None |  | None |  
<b>String method</b>: None | <b>String method</b> that displays a blinking string. | None |  | None |  
<b>String method</b>: None | <b>String method</b> that displays a string in bold. | None |  | None |  
<b>String method</b>: None | <b>String method</b> that displays a string using a fixed-pitch font. | None |  | None |  
<b>String method</b>: None | <b>String method</b> that displays a string using a specified color. | None |  | None |  
<b>String method</b>: None | <b>String method</b> that displays a string using a specified size. | None |  | None |  
<b>String method</b>: None | <b>String method</b> that displays a string in italic. | None |  | None |  
<b>String method</b>: None | <b>String method</b> that displays a string as a hyperlink. | None |  | None |  
<b>String method</b>: None | <b>String method</b> that displays a string using a small font. | None |  | None |  
<b>String method</b>: None | <b>String method</b> that displays a string with a strikethrough. | None |  | None |  
<b>String method</b>: None | <b>String method</b> that displays a string as subscript text. | None |  | None |  
<b>String method</b>: None | <b>String method</b> that displays a string as superscript text. | None |  | None |  
