<b>Math Function:</b> double acos(double <i>x</i>); | <b>Math function</b> used to calculates the arc cosine of x. 
<b>Math Function:</b> double asin(double <i>x</i>); | <b>Math function</b> used to calculates the arc sine of x. 
<b>Math Function:</b> double atan(double <i>x</i>); | <b>Math function</b> used to calculates the arc tangent of x. 
<b>Math Function:</b> double atan2(double <i>y</i>, double <i>x</i>); | <b>Math function</b> used to calculates the arc tangent of y/x. 
<b>Math Function:</b> double ceil(double <i>x</i>); | <b>Math function</b> used to calculates the double value representing the smallest integer that is greater than or equal to x. 
<b>Math Function:</b> double cos(double <i>x</i>); | <b>Math function</b> used to calculates the cosine of x. 
<b>Math Function:</b> double cosh(double <i>x</i>); | <b>Math function</b> used to calculates the hyperbolic cosine of x. 
<b>Math Function:</b> double erf(double <i>x</i>); | <b>Math function</b> used to calculates the error function of  x. 
<b>Math Function:</b> double erfc(double <i>x</i>); | <b>Math function</b> used to calculates the error function for large values of x. 
<b>Math Function:</b> double exp(double <i>x</i>); | <b>Math function</b> used to calculates the exponential function of a floating-point argument x. 
<b>Math Function:</b> double fabs(double <i>x</i>); | <b>Math function</b> used to calculates the absolute value of a floating-point argument x. 
<b>Math Function:</b> double floor(double <i>x</i>); | <b>Math function</b> used to calculates the floating-point value representing the largest integer less than or equal to x. 
<b>Math Function:</b> double fmod(double <i>x</i>, double <i>y</i>); | <b>Math function</b> used to calculates the floating-point remainder of x/y. 
<b>Math Function:</b> double frexp(double <i>x</i>, int *<i>expptr</i>); | <b>Math function</b> used to separates a floating-point number into its mantissa and exponent. 
<b>Math Function:</b> double gamma(double <i>x</i>); | <b>Math function</b> used to computes the Gamma Function 
<b>Math Function:</b> double hypot(double <i>side1</i>, double <i>side2</i>); | <b>Math function</b> used to calculates the hypotenuse of a right-angled triangle with sides of length side1 and side2. 
<b>Math Function:</b> double j0(double <i>x</i>); | <b>Math function</b> used to calculates the Bessel function value of the first kind of order 0. 
<b>Math Function:</b> double j1(double <i>x</i>); | <b>Math function</b> used to calculates the Bessel function value of the first kind of order 1. 
<b>Math Function:</b> double jn(int <i>n</i>, double <i>x</i>); | <b>Math function</b> used to calculates the Bessel function value of the first kind of order n. 
<b>Math Function:</b> double ldexp(double <i>x</i>, int <i>exp</i>); | <b>Math function</b> used to returns the value of x multiplied by (2 to the power of exp). 
<b>Math Function:</b> double log(double <i>x</i>); | <b>Math function</b> used to calculates the natural logarithm of x. 
<b>Math Function:</b> double log10(double <i>x</i>); | <b>Math function</b> used to calculates the base 10 logarithm of x. 
